country,admin1,country_name,admin1_name
AFG,AFG.1_1,Afghanistan,Badakhshan
AFG,AFG.2_1,Afghanistan,Badghis
AFG,AFG.3_1,Afghanistan,Baghlan
AFG,AFG.4_1,Afghanistan,Balkh
AFG,AFG.5_1,Afghanistan,Bamyan
AFG,AFG.6_1,Afghanistan,Daykundi
AFG,AFG.7_1,Afghanistan,Farah
AFG,AFG.8_1,Afghanistan,Faryab
AFG,AFG.9_1,Afghanistan,Ghazni
AFG,AFG.10_1,Afghanistan,Ghor
AFG,AFG.11_1,Afghanistan,Hilmand
AFG,AFG.12_1,Afghanistan,Hirat
AFG,AFG.13_1,Afghanistan,Jawzjan
AFG,AFG.14_1,Afghanistan,Kabul
AFG,AFG.15_1,Afghanistan,Kandahar
AFG,AFG.16_1,Afghanistan,Kapisa
AFG,AFG.17_1,Afghanistan,Khost
AFG,AFG.18_1,Afghanistan,Kunar
AFG,AFG.19_1,Afghanistan,Kunduz
AFG,AFG.20_1,Afghanistan,Laghman
AFG,AFG.21_1,Afghanistan,Logar
AFG,AFG.22_1,Afghanistan,Nangarhar
AFG,AFG.23_1,Afghanistan,Nimroz
AFG,AFG.24_1,Afghanistan,Nuristan
AFG,AFG.25_1,Afghanistan,Paktika
AFG,AFG.26_1,Afghanistan,Paktya
AFG,AFG.27_1,Afghanistan,Panjshir
AFG,AFG.28_1,Afghanistan,Parwan
AFG,AFG.29_1,Afghanistan,Samangan
AFG,AFG.30_1,Afghanistan,Sari Pul
AFG,AFG.31_1,Afghanistan,Takhar
AFG,AFG.32_1,Afghanistan,Uruzgan
AFG,AFG.33_1,Afghanistan,Wardak
AFG,AFG.34_1,Afghanistan,Zabul
ALB,ALB.1_1,Albania,Berat
ALB,ALB.2_1,Albania,Dibër
ALB,ALB.3_1,Albania,Durrës
ALB,ALB.4_1,Albania,Elbasan
ALB,ALB.5_1,Albania,Fier
ALB,ALB.6_1,Albania,Gjirokastër
ALB,ALB.7_1,Albania,Korçë
ALB,ALB.8_1,Albania,Kukës
ALB,ALB.9_1,Albania,Lezhë
ALB,ALB.10_1,Albania,Shkodër
